F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	1.1028e+05	1.0000	1.0001	1.0001	1.0001	-0.0000	1.0000	1.0000	1.0000	1.0000	-0.0000	
0.0010	1.1017e+05	1.0000	1.0000	1.0001	1.0000	-0.0000	1.0000	1.0000	1.0000	1.0000	-0.0000	
0.0020	1.1006e+05	1.0000	1.0000	1.0001	1.0000	-0.0000	1.0000	1.0000	1.0000	1.0000	0.0000	
0.0030	1.0995e+05	1.0000	1.0000	1.0001	1.0000	-0.0000	0.9999	1.0000	1.0000	1.0000	0.0000	
0.0040	1.0984e+05	1.0000	1.0000	1.0000	1.0000	-0.0000	0.9999	1.0000	1.0000	1.0000	0.0000	
0.0050	1.0973e+05	0.9999	1.0000	1.0000	1.0000	0.0000	0.9999	0.9999	1.0000	0.9999	0.0000	
0.0060	1.0962e+05	0.9999	1.0000	1.0000	1.0000	0.0000	0.9999	0.9999	1.0000	0.9999	0.0000	
0.0070	1.0951e+05	0.9999	0.9999	1.0000	0.9999	0.0000	0.9998	0.9999	0.9999	0.9999	0.0000	
0.0080	1.094e+05 	0.9998	0.9999	1.0000	0.9999	0.0000	0.9998	0.9999	0.9999	0.9999	0.0000	
0.0090	1.0929e+05	0.9998	0.9999	1.0000	0.9999	0.0000	0.9998	0.9998	0.9999	0.9998	0.0000	
0.0100	1.0918e+05	0.9998	0.9999	1.0000	0.9999	0.0000	0.9998	0.9998	0.9999	0.9998	0.0000	
0.0110	1.0907e+05	0.9997	0.9998	0.9999	0.9998	0.0000	0.9997	0.9998	0.9998	0.9998	0.0001	
0.0120	1.0896e+05	0.9997	0.9998	0.9999	0.9998	0.0000	0.9997	0.9998	0.9998	0.9998	0.0001	
0.0130	1.0885e+05	0.9997	0.9998	0.9999	0.9998	0.0001	0.9997	0.9997	0.9998	0.9997	0.0001	
0.0140	1.0874e+05	0.9996	0.9998	0.9999	0.9998	0.0001	0.9996	0.9997	0.9998	0.9997	0.0001	
0.0150	1.0863e+05	0.9996	0.9997	0.9999	0.9997	0.0001	0.9996	0.9997	0.9997	0.9997	0.0001	
0.0160	1.0852e+05	0.9995	0.9997	0.9999	0.9997	0.0001	0.9996	0.9996	0.9997	0.9996	0.0001	
0.0170	1.0841e+05	0.9994	0.9997	0.9998	0.9997	0.0001	0.9995	0.9996	0.9997	0.9996	0.0001	
0.0180	1.083e+05 	0.9994	0.9996	0.9998	0.9996	0.0001	0.9995	0.9996	0.9997	0.9996	0.0001	
0.0190	1.0819e+05	0.9993	0.9996	0.9998	0.9996	0.0001	0.9995	0.9996	0.9996	0.9996	0.0001	
0.0200	1.0808e+05	0.9992	0.9996	0.9998	0.9996	0.0001	0.9994	0.9995	0.9996	0.9995	0.0001	
0.0210	1.0797e+05	0.9991	0.9995	0.9997	0.9995	0.0001	0.9994	0.9995	0.9996	0.9995	0.0001	
0.0220	1.0786e+05	0.9991	0.9995	0.9997	0.9995	0.0001	0.9994	0.9995	0.9995	0.9995	0.0001	
0.0230	1.0775e+05	0.9990	0.9995	0.9997	0.9995	0.0001	0.9993	0.9994	0.9995	0.9994	0.0001	
0.0240	1.0764e+05	0.9989	0.9994	0.9997	0.9994	0.0001	0.9993	0.9994	0.9994	0.9994	0.0002	
0.0250	1.0753e+05	0.9988	0.9994	0.9997	0.9994	0.0002	0.9993	0.9993	0.9994	0.9993	0.0002	
0.0260	1.0742e+05	0.9987	0.9993	0.9997	0.9993	0.0002	0.9992	0.9993	0.9994	0.9993	0.0002	
0.0269	1.0731e+05	0.9986	0.9993	0.9997	0.9993	0.0002	0.9992	0.9993	0.9993	0.9993	0.0002	
0.0279	1.072e+05 	0.9984	0.9992	0.9997	0.9992	0.0002	0.9991	0.9992	0.9993	0.9992	0.0002	
0.0289	1.0709e+05	0.9983	0.9992	0.9996	0.9992	0.0002	0.9991	0.9992	0.9993	0.9992	0.0002	
0.0299	1.0698e+05	0.9982	0.9991	0.9996	0.9991	0.0002	0.9990	0.9992	0.9992	0.9991	0.0002	
0.0309	1.0687e+05	0.9980	0.9991	0.9996	0.9991	0.0002	0.9990	0.9991	0.9992	0.9991	0.0002	
0.0319	1.0676e+05	0.9979	0.9990	0.9996	0.9990	0.0003	0.9989	0.9991	0.9991	0.9990	0.0002	
0.0329	1.0665e+05	0.9977	0.9989	0.9996	0.9989	0.0003	0.9989	0.9990	0.9991	0.9990	0.0002	
0.0339	1.0654e+05	0.9975	0.9989	0.9996	0.9989	0.0003	0.9988	0.9990	0.9991	0.9990	0.0003	
0.0349	1.0643e+05	0.9974	0.9988	0.9996	0.9988	0.0003	0.9987	0.9989	0.9990	0.9989	0.0003	
0.0359	1.0632e+05	0.9972	0.9988	0.9996	0.9988	0.0003	0.9987	0.9989	0.9990	0.9989	0.0003	
0.0369	1.0621e+05	0.9970	0.9987	0.9996	0.9987	0.0003	0.9986	0.9988	0.9990	0.9988	0.0003	
0.0379	1.061e+05 	0.9969	0.9986	0.9996	0.9986	0.0003	0.9985	0.9988	0.9989	0.9987	0.0003	
0.0389	1.0599e+05	0.9967	0.9986	0.9996	0.9986	0.0004	0.9984	0.9987	0.9989	0.9987	0.0003	
0.0399	1.0588e+05	0.9965	0.9985	0.9996	0.9985	0.0004	0.9984	0.9986	0.9988	0.9986	0.0003	
0.0409	1.0577e+05	0.9963	0.9985	0.9996	0.9985	0.0004	0.9983	0.9986	0.9988	0.9986	0.0004	
0.0419	1.0566e+05	0.9961	0.9984	0.9996	0.9984	0.0004	0.9982	0.9985	0.9987	0.9985	0.0004	
0.0429	1.0555e+05	0.9960	0.9983	0.9996	0.9983	0.0004	0.9981	0.9985	0.9987	0.9984	0.0004	
0.0439	1.0544e+05	0.9958	0.9983	0.9995	0.9983	0.0004	0.9980	0.9984	0.9987	0.9984	0.0004	
0.0449	1.0533e+05	0.9956	0.9982	0.9995	0.9982	0.0004	0.9980	0.9983	0.9986	0.9983	0.0004	
0.0459	1.0522e+05	0.9954	0.9981	0.9995	0.9981	0.0005	0.9979	0.9983	0.9986	0.9982	0.0004	
